,md,incl,azi,TVD,TVDSS,VSEC,NS,EW,DLS,BR,TR,Northing,Easting,Latitude,Longitude
47,4384.31,69.68,217.61,3760.27903795142,3647.27903795142,1145.83797930807,S 887.42,W 1131.45,3.620811292176,2.94578502037,-2.266792019221,9245392.78960984,673098.003873737,S     6 49 27.48,E 112 33 59.12
48,4480.24,72.43,215.78,3791.4230866152,3678.4230866152,1229.9734871564,S 960.17,W 1185.65,3.387102042536,2.866673616178,-1.907640988221,9245370.61630466,673081.483949005,S     6 49 28.21,E 112 33 58.59
49,4568.44,74.38,214.64,3816.61297191261,3703.61297191261,1309.1498964997,S 1029.23,W 1234.38,2.534195566442,2.210884353741,-1.292517006803,9245349.56755457,673066.631777624,S     6 49 28.89,E 112 33 58.10
50,4664.34,76.15,213.55,3841.00473686626,3728.00473686626,1396.6415401435,S 1106.03,W 1286.36,2.148179485172,1.8456725756,-1.136600625652,9245326.15909085,673050.787354317,S     6 49 29.66,E 112 33 57.59
51,4759.8,76.71,211.75,3863.40447038612,3750.40447038612,1484.92772093728,S 1184.16,W 1336.42,1.924542337957,0.586633144773,-1.885606536769,9245302.34606802,673035.529616927,S     6 49 30.43,E 112 33 57.10
52,4854.55,76.25,208.99,3885.55956803891,3772.55956803891,1573.6278686269,S 1263.63,W 1383.00,2.873492392226,-0.485488126649,-2.912928759894,9245278.12334795,673021.334518213,S     6 49 31.22,E 112 33 56.64
53,4957.42,76.19,205.85,3910.06841665179,3797.06841665179,1671.0802908551,S 1352.30,W 1429.00,2.965093090752,-0.058326042578,-3.052396228249,9245251.09678005,673007.313184285,S     6 49 32.10,E 112 33 56.18
54,5051.74,76.63,203.12,3932.23492784449,3819.23492784449,1761.42277162142,S 1435.73,W 1466.99,2.851755893404,0.466497031383,-2.894402035623,9245225.6691256,672995.733852121,S     6 49 32.93,E 112 33 55.81
55,5140.6,76.95,200.3,3952.54514471474,3839.54514471474,1847.27955872415,S 1516.09,W 1498.99,3.11045257978,0.360117038037,-3.173531397704,9245201.17488685,672985.981916105,S     6 49 33.73,E 112 33 55.49
56,5236.42,77.75,197.92,3973.53192962194,3860.53192962193,1940.4918695492,S 1604.43,W 1529.59,2.563281257601,0.834898768524,-2.48382383636,9245174.25109486,672976.654435871,S     6 49 34.61,E 112 33 55.19
57,5330.95,78.28,196.23,3993.16290592027,3880.16290592027,2032.87951201066,S 1692.82,W 1556.74,1.836489339827,0.560668570824,-1.787792235269,9245147.31053999,672968.379731776,S     6 49 35.49,E 112 33 54.93
58,5417.44,79.18,195.19,4010.06615004344,3897.06615004344,2117.68705402312,S 1774.47,W 1579.70,1.572718521614,1.040582726327,-1.202451150422,9245122.42372098,672961.380056942,S     6 49 36.30,E 112 33 54.70
59,5512.74,79.59,193.54,4027.62237158298,3914.62237158298,2211.35070673735,S 1865.21,W 1602.94,1.755280060942,0.430220356768,-1.731374606506,9245094.76777145,672954.297505518,S     6 49 37.20,E 112 33 54.47
60,5607.11,80.29,191.93,4044.10781291594,3931.10781291594,2304.20999099827,S 1955.84,W 1623.42,1.836290633131,0.741761152909,-1.70605065169,9245067.14454925,672948.055052156,S     6 49 38.10,E 112 33 54.27
61,5702.99,79.99,189.28,4060.52925375842,3947.52925375842,2398.42091646494,S 2048.68,W 1640.80,2.740953632824,-0.312891113892,-2.763871506049,9245038.84733156,672942.756507618,S     6 49 39.02,E 112 33 54.10
62,5799.78,80.0,187.42,4077.34641133416,3964.34641133416,2493.14548917024,S 2142.98,W 1654.65,1.892487957414,0.010331645831,-1.9216861246,9245010.10449243,672938.537768254,S     6 49 39.96,E 112 33 53.97
63,5894.5,80.08,186.37,4093.72968377214,3980.72968377213,2585.56712526965,S 2235.60,W 1665.85,1.095084770271,0.084459459459,-1.108530405405,9244981.87580255,672935.12425307,S     6 49 40.88,E 112 33 53.86
64,5989.09,79.73,185.31,4110.30992831649,3997.30992831649,2677.57421518957,S 2328.24,W 1675.32,1.163670027837,-0.370017972302,-1.12062585897,9244953.63970475,672932.236074006,S     6 49 41.80,E 112 33 53.77
65,6083.77,80.52,185.43,4126.6206363073,4013.6206363073,2769.59814968101,S 2421.09,W 1684.05,0.749799501981,0.739332488382,0.126742712294,9244925.3384271,672929.575733855,S     6 49 42.72,E 112 33 53.69
